Country ,Manufacturer,2017,2018,2019,2020,2021
Germany,Mercedes,$352.10,$400.00,$484.00,$484.00,$145.00
Italy,Ferrari,$295.30,$410.00,$463.00,$463.00,$145.00
Austria,Red Bull,$284.00,$310.00,$445.00,$445.00,$145.00
United Kingdom,Mclaren,$240.80,$220.00,$269.00,$272.00,$145.00
France,Alpine/Renault,$195.40,$190.00,$272.00,$269.00,$145.00
United Kingdom,Aston Martin/Racing Point/Force India,$117.00,$120.00,$188.00,$188.00,$145.00
Italy,Alpha Tauri/Toro Rossi,$130.60,$150.00,$138.00,$173.00,$145.00
Switzerland,Alph Romeo,$123.80,$135.00,$132.00,$141.00,$145.00
United Kingdom,Williams,$136.30,$150.00,$141.00,$138.00,$145.00
United States,Haas,$130.60,$130.00,$173.00,$132.00,$145.00
